Article_No,Title,Content
مادة 0,فريق ا لإ عداد أ.م. د فرج درويش القائم بعمل عميد ا,فريق ا لإ عداد أ.م. د فرج درويش القائم بعمل عميد الكلية أ.م.د خالد مسعد القائم بعمل رئيس قسم الصحافة د السيد أبو شعيشع المشرف علي قسم اإلذاعة والتليفزيون د مها مصطفي مدرس بقسم الصحافة المطبوعة واإللكترونية أ روان عسكر معيده بقسم اإلذاعة والتليفزيون أ ميرنا عبد الوهاب معيده بقسم اإلذاعة والتليفزيون أ حازم األغا معيد بقسم العالقات العامة الفهرس - مقدمة - تعريف الملكية الفكرية - أنواع الملكية الفكرية تعريف حقوق الملكيةالفكرية أنواع حقوق الملكي ة ا لفكرية 1 - حقوق الملكية الفكرية الصناعية 2 - حقوق الملكية الفكرية األدبية و الفنية حقوق المؤلف 1 . الحقوق المالية 2 . الحقوق المعنوية حقوق الملكية الفكرية في مصر المعاهدات و اإلتفاقيات الدولية التى إنضمت مصر إليها لحماية الملكية الفكرية 1 . معاهدة باريس 2 . إتفاقية برن 3 . المنظمة العالمية للمكية الفكرية الويبو 4 . معاهدة واشنطن - حقوق المؤلف طبقاً لقانون حماية الملكية الفكرية المصري رقم22 لسنة 2002 - الحاالت التي ال تتضمنها حماية الملكية الفكرية - عقوبات إنتهاك حقوق المؤلف طبقاً للقانون رقم22 لسنة2002 . - الملكية الفكرية والبحث العلمى دور الملكية الفكرية فى تشجيع البحث العلمى - المراجع - - - - مقدمــة تعتبر الملكية الفكرية بأنواعها جزءاً ال يتجزأ من حقوق اإلنسان المتعلقة بالحيازة واإلمتالك و من أهم قوانين حماية الملكية الفردية . ، تعرف الملكية الفكرية بأنها نتاج فكر اإلنسان من إبداعات وإبتكارات مثل اإلختراعات النماذج الصناعية ، العالمات الت جارية ، الكتب ، الرموز ، األسماء ... وال تختلف حقوق الملكية الفكرية ع ن حقوق الملكيات األخري ، فهي ت مكن مالك الحق من اإل ستفادة بشتي الطرق من عمله الذي كان مجرد فكرة ثم تبلور إلي أن أصبح في صورة منتج، ويحق للمالك منع األخرين من التعامل في ملكه دون الحصول علي إذن مسبق منه ، كما يحق له مقاضاتهم في حالة التعدي علي حقوقه والمطالبة بوقف التعدي أو وقف إستمراره والتعويض عما أصابه من أضرار . وعندما يقع اإلعتداء علي هذا النوع من الملكية قد يؤدي ذلك إلي ضياع ثمرة جهد الفرد عالوة علي القيم الروحية والمادية . و قد جاءت التشريعات الدولية والوطنية لحماية هذا الحق لتحفظ لصاحبه الحق المعنوي والمادي وتشعره باألمان الذي يدفعه دائما نحو المزيد من الفكر واإلبداع ومن هذا المنطلق تسعي كلية اإلعالم بجامعة سيناء للحفاظ علي الملكية الفكرية والنشر . حماية الملكية الفكرية الملكية الفكرية هي مجموعة الحقوق التي تحمي الفكر و اإلبداع اإلنساني وتشمل براءات اإلختراع و العالمات التجارية والرسوم و النماذج الصناعية و المؤشرات الجغرافية وحق المؤلف وغيرها من حقوق الملكية الفكرية . و ي عرف اإلعالن العام لحقوق اإلنسان الملكية الفكرية على أنها الحق في حماية المصالح األخالقية والمادية الناجمة عن أي نتاج علمي أو أدبي أو فني يكون الشخص مؤلفه . و تعتمد الملكية الفكرية على قاعدتين أساسيتين تشكالن إفادة المجتمع هما : تشجيع اإلفصاح عن اإلكتشافات الجديدة :فإن قوانين براءات اإلختراع و حقوق الم ؤلف تخدم المصلحة العامة عن طريق دعم التقدم و اإلرتقاء في المجاالت المختلفة. الحث على الممارسات التجارية الشريفة لحماية أطراف المعامالت التجارية و خدمة المصلحة العامة. المعاهدات و اإلتفاقيات الدولية التى إنضمت مصر إليها لحماية الملكية الفكرية معاهدة باريس الخاصة ببراءة اإلختراع والعالمات التجارية والتصميمات والنماذج الصناعية لعام1883 المعدلة حتى عام1691 . إتفاقية برن لحماية حقوق المؤلف عام1611 هذه االتفاقية تضم الحدود الدنيا من الحقوق التي يتوجب على الدول األعضاء أن تمنحها في أراضيها في ما يتعلق بحق المؤلف لمواطني الدول األخرى األعضاء في هذه االتفاقية . الدولة العضو ملزمة بموجب التريبس بالتقيد بالنصوص المذكورة من اتفاقية برن وجعل قوانينه متوافقة معها باستثناء األحكام المتعلقة بالحقوق المعنوية للمؤلف في هذه االتفاقية. التريبس هي إحدى اإل تفاقيات التي تمت الموافقة عليها في جولة األوروغواي من المفاوضات التي تمت ضمن إطار المفاوضات حول اإلتفاقية العامة للتعريفات و التجارة الجات والتي إنتهت عام1664 . التربيس كما يشير إسمها إتفاقية الجوانب المتصلة بالتجارة من الملكية الفكرية تضم مجموعة من ال قواعد والمعايير القانونية في قانون الملكية الفكرية التي تعتبر ذات أهمية لدعم التجارة واإلستثمار األجنبي. إتفاقية إنشاء المنظمة العالمية للملكية الفكرية الموقعة في أستوكهولم في14 يوليو 1691 والمعدلة في28 سبتمبر1616 . إتفاقية الملكية الفكرية بشأن حماية الدوائر المدمجة معاهدة واشنطن لعام1686 . و ت لزم هذه اإلتفاقيات الدول األعضاء بإصدار التشريعات التى تحمي الملكية الفكرية و عليه فقد أصدرت مصر قانون حماية الملكية الفكرية رقم 82 لسنة2002 . حق المؤلف هو مصطلح قانوني يصف الحقوق الممنوحة للمبدعين في مصنفاتهم األدبية والفنية مثل الكتب والروايات والقطع الموسيقية واألفالم السينمائية وبرامج الحاسب وقواعد البيانات وبصفة عامة فإن كل دولة لها حرية تحديد نظام الملكية الفكرية الخاص بها ومعظم الدول قد ارتبطت فى معاهدات أو إتفاقات دولية لوضع معايير تحدد اإللتزام بقوانين الملكية الفكرية وتوفيق ذلك مع شريعتها الوطنية وهذه الحقوق تندرج تحت فئتين رئيسيتين ، هما : الحقوق المالية ، ويمكن التنازل عن هذه الحقوق . الحقوق المعنوية ، التي ال يمكن حرمان المؤلف من حق نسب المصنف له بأي شكل من األشكال . 1 - حقوق المؤلف المالية الحقوق المالية هي : الحقوق التي ترد للمؤلف على مصنفه و يؤدي تمتعه بهذه الحقوق إلى المحافظة على العوائد المالية الناتجة عن إختيار المؤلف إستغالل مصنفة بالطريقة التي يراها مناسبة دون مزاحمة غيره فتعود له وحدة العوائد المالية الناتجة عن هذا اإلستغالل. وتعتبر الحقوق المالية للمؤلف حقوق إستئثارية،أي أنه الشخص الوحيد الذي يملك التصرف بمصنفه أو الترخيص للغير بإستغالله وتشتمل هذه الحقوق على : - حق النسخ و طباعة و تسجيل العمل و نشره بكل الطرق المتوفرة. حق األداء العلني و نقل العمل إلى الجمهور بشكل سلكي أو ال سلكي. حق التحوير من شكل إلى آخر . حق الترجمة. حق النشر. 2 - الحقوق المعنوية للمؤلف اوال :حق نسبة المصنف لمؤلِفه سواءً باسمه الشخصي أو إختيار إسم مستعار. ثانيا : حق المؤلف في عدم إجراء أي تعديالت على المصنف دون الرجوع إليه . بعض مواد قانون حماية الحقوق الفكرية82 لسنة2002 ذات العالقة بالعمل الجامعي:
مادة 1,: فى تطبيق أحكام هذا القانون ، يكون للمصطلحات التا,: فى تطبيق أحكام هذا القانون ، يكون للمصطلحات التالية المعنى الوارد قرين كل منها : المصنف : كل عمل مبتكر أدبى أو فنى أو علمى أيا كان نوعه أو طريقة التعبير عنه أو أهميته أو الغرض من تصنيفه . االبتكار :الطابع االبداعى الذى يسبغ األصالة على المصنف . المؤلف : الشخص الذى يبتكر المصنف ، ويعد مؤلفا للمصنف من يذكر اسمه عليه ، أو ينسب إليه عند نشره بغير اسمه أو باسم مستعار بشرط أال يقوم شك فى معرفة حقيقه شخصه ، فإذا قام الشك اعتبر ناشر أو منتج المصنف سواء أكن شخصا طبيعيا أم اعتباريا ممثال للمؤلف فى مبتشرة ح قوقه إلى أ ن يتعم التعرف على حقيقة شخص المؤلف . المصنف الجماعى : المصنف الذى يضعه أكثر من مؤلف بتوجيه شخص طبيعى أو اعتبارى يتكفل بنشره باسمه و تحت إدارته ، و يندمج عمل المؤلفين فيه فى الهدف العام الذى قصد إليه هذا الشخص بحيث يستحيل فصل عمل كل مؤلف و تمييز ه عل حده . المصنف المشترك : المصنف الذى ال يندرج ضمن المصنفات الجماعية ، ويشترك فى وضعه أكثر من شخص سواء أمكن فصل نصيب كلل منهم فيه أو لم يمكن . المصنف المشتق : المصنف الذى يستمد أصلهمن مصنف سابق الوجود كالترجمات .
مادة 2,: تشمل الحماية المقررة ل حقوق المؤلفين المصريين و,: تشمل الحماية المقررة ل حقوق المؤلفين المصريين و األجانب من األشخاص الطبيعين أو االعتباريين الذين ينتمون إلى إحدى ال دول األعضاء ، أو الكيانات األعض ا ء ، فى مظمة التجارة العالمية.
مادة 3,: تتمتع بحماية هذا القانون حقوق المؤلفين على مصنفا,: تتمتع بحماية هذا القانون حقوق المؤلفين على مصنفاتهم األدبية و الفنية و بوجه خاص المصنفات اآلتية : الكتب و الكتيبات و المقاالت و النشرات و األبحاث العلمية و غيرها من المصنفات المكتوبة و تشمل الحماية عنوان المصنف إذا كان مبتكرا .
مادة 4,: يتمتع المؤل ف و خلفه العام على المصنف بحقوق أدبي,: يتمتع المؤل ف و خلفه العام على المصنف بحقوق أدبية أبدية غير قابلة للتقادم أو للتنازل عنها ، و تشمل هذه الحقوق ما يلى : أوآل : الحق فى إتاحة المصنف للجمهور ألول مرة ثانيآ : الحق فى نسبه المصنف إلى مؤلفه . ثالثا :الحق فى منع تعديل المصنف تعديآل يعتبره المؤلف تشويهآ أو تحريفآ له و ال يعد التعديل فى مجال الترجمة اعتداء إال إذا أغفل المترجم اإلشارة إلى مواطن الحذف أو التعبير و أساء بعمله لسمعة المؤلف و مكانته .
مادة 5,: للمؤلف وحده إذا طرأت أسباب جدية ، أن يطلب من الم,: للمؤلف وحده إذا طرأت أسباب جدية ، أن يطلب من المحكمة االبتدائية بمنع طرح مصنفه للتداول أو بس حبه من التداول ، أو إلدخال تعديالت جوهرية عليه برغم تصرفه فى حقوق االستغالل المالى و يلزم المؤلف فى هذه الحالة أن يعوض مقدما من آلت إليه حقوق االستغالل المالى تعويضا عادال يدفع فى غضون أجل تحدده المحكمة و إال زال كل أثر للحكم .
مادة 6,: يتمتع المؤلف و خلفه العام من بعده بحق استئثارى ف,: يتمتع المؤلف و خلفه العام من بعده بحق استئثارى فى المنع ألى استغالل لمصنفه باى وجه من الوجوه ، و بخاصة عن طريق النسخ ، او الترجمة ، أو التحوير بما فى ذلك إتاحته عبر أجهزة الحاسب اآللى ، أو من خالل شبكات اإلنترنت ، أو شبكات المعلومات ، أو غيرها من الوسائل . . كما يتمتع المؤلف و خلفه من بعده بالحق فى تتبع أعمال التصرف فى النسخة األصلية لمصنفه، و الذى يخوله الحصولعلى نسبة مؤية معينة ال تتجاوز عشرة فى المائة من الزيادة التى تحققت من كل عملية تصرف فى هذه النسخة .ويستنفد حق المؤلف فى منع الغير من إستيراد أو استخدام أو بيع أو توزيع مص نفه المحمى وفقا ألحكام هذا القانون إذا قام باستغالله و تسويقه أو رخص للغير بذلك .
مادة 7,: تنتهى حماية حق المؤلف و حق من ترجم مصنفه إلى لغة,: تنتهى حماية حق المؤلف و حق من ترجم مصنفه إلى لغة أجنبية أخرى فى ترجمة ذلك المصنف إلى اللغة العربية إذا لم يباشر المؤلف أو المترجم هذا الحق بنفسه أو بواسطة غيره فى مدى ثالث سنوات من تاريخ أول نشر للمصنف األصلى أو المترجم .
مادة 8,: للمؤلف أن ينقل إلى الغير كل أو بعض حقوقه المالية,: للمؤلف أن ينقل إلى الغير كل أو بعض حقوقه المالية المبنية فى هذا القانون . و يشترط النعقاد التصرف أن يكون مكتوبا و أن يحدد فيه صراحة وبالتفصيل كل حق على حدة يكون محال للتصرف مع بيا ن مداه و الغرض منه و مدة االستغالل و مكانه . و يكون المؤلف مالكا لكل ما لم يتنازل عنه صراحة من حقوق مالية و ال يعد ترخيصه باستغالل أحد هذه الحقوق ترخيصآ منه باستغالل أى حق مالى آخر يتمتع به على المصنف نفسه .و مع عدم اإلخالل بحقوق المؤلف األدبية المنصوص ع ليها فى هذا القانون يمتنع عليه القيام بأى عمل من شأنه تعطيل استغالل الحق محل التصرف .
مادة 9,: للمؤلف أن يتقاضى المقابل النقدى أو العينى الذى ي,: للمؤلف أن يتقاضى المقابل النقدى أو العينى الذى يراه عادال نظير نقل حق أوة أكثر من حقوق االستغالل المالى لمصنفه إلى الغير على أساس مشاركة نسبية فى اإليراد ال ناتج من االستغالل ، كما يجوز له التعاقد على أساس مبلغ جزافى او بالجمع بين االساسين .
