Article_No,Title,Content
مادة 0,الصادر بقانون رقم80 لسنة2002 المعدل بالق انون رقم7,الصادر بقانون رقم80 لسنة2002 المعدل بالق انون رقم78 لسنة2003 والقانون رقم181 لسنة2008 والقانون رقم36 لسنة2014 والقانون رقم 17 لسنة2020 والقانون رقم154 لسنة2022 2 القانون رقم80 لسنة2002 بإصدار قانون مكافحة غسل األموال1 ـــــــــــــــــــــــ باسم الشعب رئيس الجمهورية قرر مجلس الشعب القانون اآلتي :نصه، وقد أصدرناه المادة األولى .يعمل بأحكام قانون مكافحة غسل األموال المرافق المادة الثانية يصدر رئيس مجلس الوزراء الالئحة التنفيذية للقانون،المرافق وذلك خالل ثالثة أشهر من تاريخ .نشره المادة الثالثة ينشر هذا القانون فى الجريدة الرسمية، ويعمل به اعتباراً من اليوم التالي لتاريخ.نشره .يبصم هذا القانون بخاتم الدولة، وينفذ كقانون من قوانينها 1 الجريدة الرسمية في 22 مايو سنة2002 - العدد20 مكرر:، وقد عدل بالقوانين أرقام - 78 لسنة2003 الجريدة الرسمية العدد23 مكرر في 8 يونية سنة2003 . - 181 لسنة2008 الجريدة الرسمية العدد25 مكرر في 22 يونية سنة2008 . - 36 لسنة2014 الجريدة الرسمية العدد20 تابع أ في 15 مايو سنة2014 . - 17 لسنة2020 الجريدة الرسمية العدد10 مكرر ب في11 مارس سنة2020 . - 154 لسنة2022 الجريدة الرسمية العدد30 تابع أ في28 يوليه سنة2022 3 قانون مكافحة غسل األموال
مادة 1,2 : في تطبيق أحكام هذا القانون تكون لكل من الكلمات,2 : في تطبيق أحكام هذا القانون تكون لكل من الكلمات والعبارات اآلتية المعنى المبين قرين :كل منها أ األموال أو األصول3: جميع األصــــــول المادية واةفترامــــــية والموارد اةقتصــــــادية، ومنها النف والموارد الطبيعية األخرى والممتلكـات والعمالت الوننيـة أو األجنبيـة واألورا المـاليـة أو التجـاريـة أيـاً كـانـا قيمتهـا أو نوعها أو وســــــيلة الح صــــــ ول عليها ســــــواء كانا مادية أو معنوية منقولة أو ثالتة والوثائق واألدوات القانونية والمســــتندات والصــــكور والمحررات المثبتة لكل ما تقدم أياً كان شــــكلها بما في ذلك الشــــكل الرقمي أو اإللكتروني وجميع الحقو الم تعلقة بأي منها بما في ذلك اةئتمان المصــــــرفي والشــــــيكات السياحية والشيكات المصرفية واةعتمادات المستندية وأي عوائد أو أرباح أو مصادر دخل أخرى ترتبا أو تولدت من هذه األموال أو األصول، أو أي أصول أخرى أعدت ةستخدامها للحصول على تمويل أو منتجات أو خدمات، كما تشــــمل األصــــول اةفترامــــية التي لها قيمة رقمية يمكن تداولها أو نقلها أو .تحويلها رقمياً ويمكن استخدامها كأداة للدفع أو اةستثمار ب :غسل األموال كل فعل من األفعال المنصوص عليها في المادة2 . من هذا القانون ج الجريمة األصلية: كل فعل يشكل جناية أو جنحة بموجب القانون المصري، سواء ارتكب داخل البالد أو خارجها .متى كان معاقباً عليه في كال البلدين د :المتحصالت األموال أو األصــول الناتجة أو العائدة بطريق مباشــر أو غير مباشــر من ارتكاب أية جريمة .أصلية 2 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 3 مستبدلة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 4 ه :الوحدة .وحدة مكافحة غسل األموال وتمويل اإلرهاب و :المؤسسات المالية 1 البنور العاملة في مصر وفروعها في الخارج وفروع البنور األجنبية العاملة في .مصر 2 شركات الصرافة والجهات األخرى المرخص لها بالتعامل في النقد األجنبي. 3 الجهات التي تباشر نشاط تحويل.األموال 4 الجهات العاملة في مجال األورا.المالية 5 الجهات العاملة في مجال تلقــــى.األموال 6 .الهيئة القومية للبريد، فيما تقدمه من خدمات مالية 7 الجهات التي تمارس نشاط التمويل العقاري وجهات التوريق.العقاري 8 الجهات التي تمارس نشاط التأجير.التمويلي 9 الجهات العاملة في نشاط.التخصيم 10 الجهات التي تمارس أي نوع من أنشطة التأمين وصناديق التأمين الخاصة وأعمال السمسرة في مجال .التأمين 11 الجهات العاملة في مجال اإليداع والقيد المركزي .لألورا المالية 12 أية جهة أخرى تمارس على سبيل اةحتراف- لصالح عميل أو نيابة عنه- نشاناً أو أكثر من األنشطة المرخص لها للمؤسسات المالي ة المشار إ ليها في .هذا البند 13 الجهات األخرى التي يصدر لتحديدها، وبالتزاماتها، وبالجهات التي تتولى الرقابة عليها، قرار من رئيس .مجلس الوزراء وذلك كله سواء كان من يباشر األنشطة المنصوص عليها في هذا البند شخصاً اعتبارياً أو .ًشخصاً نبيعيا ز أصحاب المهن:واألعمال غير المالية 1 . سماسرة العقارات، عند تنفيذهم عمليات لصالح عمالئهم بشراء أو ليع عقارات. 2 . تجار المعادن النفيسة وتجار األحجار الكريمة، عند تنفيذهم أي عمليات نقدية مع عمالئهم تساوي أو تتجاوز الحد الذي .تحدده الالئحة التنفيذية 5 3 . المحامون والمحاســـبون، ســـواءً كانوا يزاولون المهنة بشـــكل منفرد أو كشـــركاء أو مهنيين في شـــركة تمارس هذه المهنة، وذلك عند قيامهم بإعداد أو تنفيذ عمليات لصالح عمالئهم فيما يتعلق باألنشطة التالية: أ. .شراء وبيع العقارات ب. إدارة األموال أو األصول .أو األورا المالية ج. إدارة الحسابات المصرفية أو حسابات التوفير أو حسابات األورا .المالية د. تنظيم المساهمات بغرض إنشاء أو تشغيل أو .إدارة الشركات ه. إنشـاء الشـخصـيات اةعتبارية أو الترتيبات القانونية أو تشـغيلها أو ،إدارتها وشـراء أو ليع الكيانات .التجارية 4 . أندية القمار، بما في ذلك التي تباشـر أنشـطتها من خالل شـبكة اإلنترنا وعلى متن السـفن، عند قيام عمالئها بعمليات مالية تساوي أو تتجاوز الحد الذي .تحدده الالئحة التنفيذية 5 . المهن واألعمال األخرى التي يصدر لتحديدها، وبالتزاماتها، وبالجهات التي تتولى الرقابة عليها، قرار من .رئيس مجلس الوزراء .وتحدد الالئحة التنفيذية للقانون مواب تطبيقه على هذه المهن واألعمال ح األدوات القاللة للتداول لحاملها: هي األدوات النقدية التي في شــــــكل وثيقة لحاملها، وغيرها من األدوات القاللة للتداول، مثل ًالشــــــيكات أيا كان،نوعها والســــــندات اإلذنية وأوامر الدفع، التي تكون إما لحاملها أو مظهّرة له دون قيود، أو صادرة لمستفيد صوري، أو في شكل آخر تنتقل معه الملكية بالمناولة، وكذا األدوات الموقّعة .من قبل الساحب وة تتضمن اسم المستفيد ط :الوزير المختص .رئيس مجلس الوزراء أو من يفومه من الوزراء ي الجهات4: الجهات المعنية بمكافحة غسـل األموال والجرائم األصـلية المرتبطة لها أو تمويل اإلرهاب التي .تحددها الالئحة التنفيذية لهذا القانون 4 مضافة بقرار رئيس الجمهورية بالقانون رقم17 لسنة2020 . 6 ر جهات إنفاذ القانون5: ًالجهات التى يدخل مــــــــمن اختصــــــــاصــــــــها قانونا القيام بأعمال المكافحة والتحري وجمع اةستدةةت في جميع الجرائم بما فيها جرائم غسل األموال وجرائم تمويل اإلرهاب والجرائم األصلية. ل التحقيقات المالية الموازية6: إ جراء التحريات حول الجوانب المالية المتعلقة لنشــــاط إجرامي بغرض تحديد نطا الشــــبكات اإلجرامية أو نطا الجريمة وتحديد وتعقب متحصـــالت الجريمة واألموال اإلرهالي ة أو أية أصـــول أخرى تخضع للمصادرة، وتطوير أدلة يمكن استخدامها في اإلجراءات .الجنائية
مادة 2,7: يعد مرتكباً لجريمة غسل األموال كل من علم أن األ,7: يعد مرتكباً لجريمة غسل األموال كل من علم أن األموال أو األصول متحصلة من جريمة أصلية، وقام عمداً بأي مما يلي: أ. تحويل متحصالت أو نقلها، وذلك بقصد إخفاء المال أو تمويه نبيعته أو مصدره أو مكانه أو صاحبه أو صاحب الحق فيه أو تغيير حقيقته أو الحيلولة دون اكتشاف ذلك أو عرقلة التوصل إلى مرتكب .الجريمة األصلية ب. اكتساب المتحصالت أو حيازتها أو استخدامها أو إدارتها أو حفظها أو استبدالها أو إيداعها أو ممانها أو استثمارها أ و التالعب في قيمتها أو إخفاء أو تمويه الطبيعة الحقيقية لها أو لمصدرها أو مكانها أو .كيفية التصرف فيها أو حركتها أو ملكيتها أو الحقو المتعلقة لها
مادة 3,8: تنشأ بالبنك المركزى المصرى وحدة مستقلة ذات نابع,8: تنشأ بالبنك المركزى المصرى وحدة مستقلة ذات نابع خاص لمكافحة غسل األموال وتمويل اإلرهاب9 .تمثل فيها الجهات المعنية، وتتولى اةختصاصات المنصوص عليها فى هذا القانون ويكون للوحدة مجلس أمناء يرأسه أحد الخبرات القضائية الذي ة تقل مدة خبرته عن خمسة ًعشر عاما في محكمة النقض أو إحدى محاكم اةستئناف:، وعضوية كل من 1 . ممثل عن النيابة العامة، يختاره.النائب العام 2 . نائب محافظ البنك المركزي.، يختاره المحافظ 5 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 . 6 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 . 7 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 8 مستبدلة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 . 9 تم امافة عبارة وتمويل اإلرهاب بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 7 3 . .نائب رئيس الهيئة العامة للرقابة المالية، يختاره رئيس الهيئة 4 . رئيس هيئة مستشاري .مجلس الوزراء 5 . ممثل ة تحاد لنور مصر، يرشحه اةتحاد. 6 . خبير في الشئون اةقتصادية .يختاره رئيس مجلس الوزراء 7 . المدير التنفيذي لوحدة مكافحة غسل األموال. ويلحق لها عدد كاف من الخبراء من أعضاء السلطة القضائية10 والمتخصصين فى المجاةت المتعلقة لتطبيق أحكام هذا القانون، وتزود بمن يلزم من العاملين المؤهلين والمدربي ن. ويصــدر لتشــكيل مجلس األمناء وتعيين رئيســه قرار من رئيس الجمهورية ويحدد القرار نظام عمل مجلس األمناء واختصــاصــاته ونظام إدارة الوحدة، وذلك دون التقيد بالنظم والقواعد المعمول لها .في الحكومة والقطاع العام وقطاع األعمال العام
مادة 4,ًمكررا 11 : يكون للوحـدة مـدير تنفيـذي يعين بقرار,ًمكررا 11 : يكون للوحـدة مـدير تنفيـذي يعين بقرار من رئيس مجلس األمنـاء بعـد موافقـة المجلس، ويحـدد القرار مهام واختصاصات وظيفته ومعاملته المالية.
مادة 5,: تختص الوحدة لتلقى اإلخطارات الواردة من المؤسسات,: تختص الوحدة لتلقى اإلخطارات الواردة من المؤسسات المالية وأصحاب المهن واألعمال غير المالية، عن العمليات التى يشــــتبه فى أنها تشــــكل متحصــــالت أو تتضــــمن غســــل األموال أو تمويل اإلرها.ب أو محاوةت القيام لهذه العمليات12 وعلى الوحدة إنشـــاء قاعدة ليانات لما يتوفر لديها من معلومات ولها أن تتيحها13 للســـلطات القضــــــــائية وغيرها من الجهات المختصــــــــة لتطبيق أحكام هذا القانون، وكذلك تبادل هذه المعلومات والتنســيق مع جهات الرقابة فى الدولة، ومع الجهات المختصــة فى الدول األجنبية والمنظمات الدولية .تطبيقاً ألحكام اةتفاقيات الدولية التى تكون مصر نرفاً فيها أو تطبيقاً لمبدأ المعاملة بالمثل
مادة 6,: 10 تم امافة عبارة من أعضاء السلطة القضائيةر بقرا,: 10 تم امافة عبارة من أعضاء السلطة القضائيةر بقرا رئيس الجمهورية بالقانون رقم36 لسنة2014 . 11 مضافة بقرار رئيس الجمهورية بالقانون رقم154 لسنة2022 12 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 13 تم استبدال عبارة ولها أن تتيحها ب عبارة و أن تضع الوسائل الكفيلة بإتاحتها بقرار رئيس الجمهورية بالقانون رقم36 لسنة 2014 . 8 تتولى الوحـدة أعمـال التحرى والفحص عمـا يرد إليهـا من إخطـارات ومعلومـات فى شــــــــــأن العمليات التى يشــتبه فى أنها تشــكل متحصــالت أو14 تتضــمن غســل األموال أو تمويل اإلرهاب وتقوم بإلالغ النيابة العامة بما يسـفر عنه التحرى من قيام دةئل على ارتكاب جريمة من الجرائم المنصـوص .عليها فى هذا القانون وتســـــري أحكام المواد أرقام208 مكرراً أ، و208 مكر راً ب، و208 مكرراً ج، و208 مكرراً د من قانون اإلجراءات الجنائية على جرائم غســــل األموال وتمويل اإلرهاب. وللوحدة أن تطلب .من سلطات التحقيق اتخاذ التدالير التحفظية على النحو المبين في المواد المشار إليها15 وتســـري على جرائم غســـل األموال وجرائم اإلرهاب وجر يمة تمويل اإلرهاب أحكام الفقرة األخيرة من المادة98 من قانون البنك المركزي والجهاز المصـــرفي والنقد الصـــادر بالقانون رقم88 لســـنة 2003 .
مادة 7,16 : يكون للعاملين بالوحدة الذين يصــــــــدر لتحد,16 : يكون للعاملين بالوحدة الذين يصــــــــدر لتحديدهم قرار من وزير العدل لناء على نلب الوزير المختص صفة مأمورى الضب القضائى بالنسبة إلى الجرائم المنصوص عليها فى هذا القانون والتى .تكون متعلقة بأعمال وظائفهم
مادة 8,17 : تلتزم الجهات المختصــــة بالرقابة على المؤســ,17 : تلتزم الجهات المختصــــة بالرقابة على المؤســــســــات المالية وأصــــحاب المهن واألعمال غير المالية بإنشـــاء وتهيئة الوســـائل الكفيلة بالتحقق من التزام تلك ال مؤســـســـات المالية وأصـــحاب المهن واألعمال غير المالية باألنظمة والقواعد المقررة قانوناً لمكافحة غســل األموال وتمويل اإلرهاب، بما فى ذلك اإلخطار عن العمليات التى يشـتبه فى أنها تشـكل متحصـالت أو تتضـمن غسـل األموال أو تمويل اإلرهاب، وتلتزم هذه الجهات والمؤسسات المالية وأصحاب المهن واألعمال غير المالية بإمداد الوحدة بما تطلبه من البيانات والمعلومات واإلحصـــــــائيات الالزمة لمباشـــــــرة اختصـــــــاصـــــــاتها، وفقا للقواعد .واإلجراءات التي تضعها كما تتولى الوحدة إنشـاء وتهيئة الوسـائل الكفيلة بالتحقق من التزام كافة المؤسـسـات المالية وأصـحاب المه ن واألعمال غير المالية- التي ة تخضـع لرقابة الجهات المشـار اليها فى الفقرة األولى 14 تم امافة عبارة تشكل متحصالت أو بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 15 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 16 مستبدلة بقرار رئيس الجمهورية بالقانون رقم36 لسنة2014 . 17 مستبدلة بقرار رئيس الجمهور ية بالقانون رقم36 لسنة2014 . 9 من هذه المادة في شـــــأن مكافحة غســـــل األموال وتمويل اةرهاب- باألنظمة والقواعد المقررة في هذا .الشأن، بما فى ذلك ومع القواعد والضواب ذات الصلة بمكافحة غسل األموال وتمويل اإلرهاب وتتولى الوحدة متابعة الجهات والمؤسسات المالية وأصحاب المهن واألعمال غير المالية .المشار إليها في هذه المادة فيما يتعلق باةلتزام المنصوص عليه في الفقرة األولى من هذه المادة وفى جميع األحوال، تلتزم الجهات المختصة بإلالغ الوحدة بما يتوافر لديها من معلومات بشأن .جرائم غسل األموال وتمويل اإلرهاب وما تتخذه من إجراءات بشأنها وما يؤول إليه التصرف فيها وذلك كله على النحو الذي .تحدده الالئحة التنفيذية
مادة 9,18 : تلتزم المؤســســات المالية وأصــحاب المهن واأ,18 : تلتزم المؤســســات المالية وأصــحاب المهن واألعمال غير المالية بإخطار الوحدة فوراً عن أى من العمليات التى تشــتبه فى أنها تشــكل متحصــالت أو تتضــمن غســل األموال أو تمويل اإلرهاب، أو محاوةت القيام لهذه العمليات أيا كانا قيمتها، وعليها ومــــــــع النظم الكفيلة لتطبيق اجراءات العناية الواجبة بالعمالء وغيرها من القواعد واإلجراءات ذات الصـــــلة بمكافحة غســـــل األموال وتمويل اةرهاب .التي تصدرها الوحدة .وذلك كله على النحو الذي تحدده الالئحة التنفيذية
